cellid,block,locus,tau,dcfpar,ks,nL,J_bar,s2a_P,s2j_P,s2a_LP,s2j_LP,mupi_ind,s2pi_ind,s2piLP_ind,eps2_soft,lambda_soft,rho2_cf_soft,rho2_mc_soft,rho_rep_soft,rho2pi_soft,rho2_mcse_soft
150,A_dcf,1,.15,1,3.6,16,.2274344645412401,-2.09340211346e-36,.0009409331865727,5.02416507231e-35,6.04983229450e-33,.0999999997348261,.0023375160728379,.002696239345115,.000387185319963,.912399902964953,.8002691696060379,.7836974217338981,.8073628865822926,.7333192585141792,.0018133674668978
151,A_dcf,1,.15,2,3.6,2,.2259416223675963,.0000749736324988,.0000749736324988,4.67241825144e-34,5.26114489045e-33,.0999999997348261,.0023375160728379,.002696239345115,.0003869230075975,.6112307056102095,.4266237291390407,.3864784340566466,.4028118175292183,.2606241949300131,.006222177139428
152,A_dcf,1,.15,2,3.6,4,.225994457405829,.0000743125309873,.0000743125309873,4.64305703075e-34,5.25669147053e-33,.0999999997348261,.0023375160728379,.002696239345115,.0003859002791563,.6134441598896549,.5977723111590104,.5607419566057043,.5664860338689774,.3797654110267139,.0036058716561688
153,A_dcf,1,.15,2,3.6,8,.225944603872159,.0000750716596206,.0000750716596206,4.70330179414e-34,5.23772826188e-33,.0999999997348261,.0023375160728379,.002696239345115,.000386329327419,.6109264412513399,.748815228526691,.7149814590211894,.732056607692796,.4832972805376809,.0021827414093781
154,A_dcf,1,.15,2,3.6,12,.2259977452727988,.0000746022108922,.0000746022108922,4.65123637149e-34,5.24874927038e-33,.0999999997348261,.0023375160728379,.002696239345115,.0003864416321016,.6125280912110911,.8168702482675736,.7961443829310468,.8056065387214175,.5150741629316706,.0015521019853793
155,A_dcf,1,.15,2,3.6,16,.2259470004458835,.0000745648000422,.0000745648000422,4.67110192019e-34,5.27046974082e-33,.0999999997348261,.0023375160728379,.002696239345115,.0003861301545076,.6125405448666684,.8560928268505897,.837960607986607,.8455248241317912,.5479691273613069,.0012210054285019
156,A_dcf,1,.15,3,3.6,2,.226862378325207,.0000751006765888,.0010122695508108,4.65365801906e-34,6.20134101642e-33,.0999999997348261,.0023375160728379,.002696239345115,.0003862630866557,.578680439936298,.4406644037886035,.3912868978968927,.4170977039212681,.2650968498509517,.0062654791165863
157,A_dcf,1,.15,3,3.6,4,.2271009595912444,.0000751166551072,.0010243833960301,4.69824245991e-34,6.19940369837e-33,.0999999997348261,.0023375160728379,.002696239345115,.0003866395807689,.5787329205541631,.6119140368269682,.5702546393940682,.5878913675882425,.3665808123318647,.0035128487829123
158,A_dcf,1,.15,3,3.6,8,.2271727671637505,.0000740618305174,.0010068948876003,4.65565763676e-34,6.22852777846e-33,.0999999997348261,.0023375160728379,.002696239345115,.0003881168467416,.5824383195255194,.75766012259802,.731954796869963,.7390873386715157,.456687493409827,.0021584831008339
159,A_dcf,1,.15,3,3.6,12,.2268934467354611,.0000750554382293,.001009298049016,4.69139954708e-34,6.14602294931e-33,.0999999997348261,.0023375160728379,.002696239345115,.0003885245986637,.5789752627765905,.8247295618285337,.8030515240597594,.8140460920023035,.4980727263951737,.0014334540538212
160,A_dcf,1,.15,3,3.6,16,.2269974169336119,.0000744988466682,.0010086265545296,4.63111459038e-34,6.17423263136e-33,.0999999997348261,.0023375160728379,.002696239345115,.0003867203867883,.5807761822993907,.86263976547461,.8453676129528782,.8489739945060272,.5302296563405571,.0012003227003452
